Number,Water Depth,Latitude,Longitude,Region,Abundance,Species,Genus,Total
184,1,69.66,-134.53,Beaufort,0,0,0,210
223,1.5,70.44,-148.785,Beaufort,0,0,0,60
307,2.3,70.468,-151.75,Beaufort,0,0,0,68
915,7,70.66583,161.14917,Siberian,0,0,0,73
177,8.5,70.583,-150,Beaufort,0,0,0,73
891,11,72.33333,72.33333,Kara,0,0,0,82
594,14,72.03,130.13,Laptev,0,0,0,54
331,14,70.99,-150.79,Beaufort,0,0,0,326
274,18,64.001111,-162.425556,Chukchi,0,0,0,61
909,18,74.86917,121.94933,Laptev,0,0,0,64
245,18,64,-162.42,Chukchi,0,0,0,255
257,20,64.002,-165.486,Chukchi,0,0,0,53
916,20,70.04417,164.75917,Siberian,0,0,0,72
311,24.5,70.91,-150.305,Beaufort,0,0,0,61
256,25,63.696,-165.764,Chukchi,0,0,0,77
1340,27,63.58,-166.09,Chukchi,0,0,0,61
718,32,59.492,-168.45,Chukchi,0,0,0,56
790,33,74.95,130.57,Laptev,0,0,0,97
463,38,60.87,-169,Chukchi,0,0,0,68
1155,42,62.993,-170.2671667,Chukchi,0,0,0,83
728,43,59.266,-169.1,Chukchi,0,0,0,53
746,43,62.767,-171.664,Chukchi,0,0,0,138
854,43,62.28,-171.573,Chukchi,0,0,0,396
1180,43.6,72.29623333,-164.2529667,Chukchi,0,0,0,73
1154,45,62.88716667,-170.4305,Chukchi,0,0,0,97
1177,45.3,72.10268333,-165.4598833,Chukchi,0,0,0,73
859,46,74.66,82.64,Kara,0,0,0,62
1152,46,62.69183333,-170.764,Chukchi,0,0,0,71
853,46,62.44,-172.309,Chukchi,0,0,0,95
1151,47,62.60566667,-170.9546667,Chukchi,0,0,0,193
1085,48,63.5,-171.84,Chukchi,0,0,0,55
1536,48,64.673,-169.927,Chukchi,0,0,0,147
1540,49,64.96,-169.89,Chukchi,0,0,0,85
1138,50,62.53133333,-172.1186667,Chukchi,0,0,0,56
1140,50,62.75116667,-171.6635,Chukchi,0,0,0,71
984,51,67.33315,-168.9930333,Chukchi,0,0,0,80
1399,54,63.9213,-172.0977,Chukchi,0,0,0,78
1081,66.8,61.718,-173.608,Chukchi,0,0,0,71
1319,107,81.04166667,-96.49333333,Baffin,0,0,0,1319
796,121,77.9,132.22,Laptev,0,0,0,104
1320,125,81.06666667,-96.38333333,Baffin,0,0,0,239
1345,176,71.592,-152.448,Beaufort,0,0,0,56
629,191,78.07166667,133.6083333,Laptev,0,0,0,107
72,265,81.46,97.57,Kara,0,0,0,869
73,421,81.62,75.33,Kara,0,0,0,420
650,557,78.7,112.515,Laptev,0,0,0,180
411,590,84.18833333,-24.91,Greenland,0,0,0,988
1325,638,81.30833333,-100.475,Beaufort,0,0,0,368
410,845,84.61333333,-32.13,Greenland,0,0,0,593
1287,886,84.27605,148.713423,Laptev,0,0,0,1000
606,893,74.755,-157.887,Beaufort,0,0,0,480
1280,982,78.796924,165.366435,Siberian,0,0,0,78
412,1010,83.145,-16.28833333,Greenland,0,0,0,471
540,1018,88.78166667,144.55,Laptev,0,0,0,424
699,1020,88.8,142.98,Laptev,0,0,0,445
698,1020,88.8,142.98,Laptev,0,0,0,582
620,1024,82.16,42.045,Barents,0,0,0,158
714,1031,78.13,-176.75,Chukchi,0,0,0,432
715,1031,78.13,-176.75,Chukchi,0,0,0,459
536,1051,87.53333333,144.382,Laptev,0,0,0,307
584,1055,74.82033333,-157.558,Beaufort,0,0,0,350
548,1074,85.32666667,-14,Greenland,0,0,0,250
550,1083,85.105,-14.39,Greenland,0,0,0,463
549,1083,85.10666667,-14.378,Greenland,0,0,0,693
1326,1150,82.16,-102.565,Beaufort,0,0,0,739
403,1176,86.875,-62.01833333,Baffin,0,0,0,101
446,1182,77.08566667,-3.988,Greenland,0,0,0,116
414,1192,87.24833333,-58.29166667,Baffin,0,0,0,334
435,1195,78.39,1.093333333,Greenland,0,0,0,92
402,1200,87.11,-61.85666666,Baffin,0,0,0,234
651,1216,78.76166667,112.7033333,Laptev,0,0,0,61
529,1228,87.74666667,138.157,Laptev,0,0,0,573
528,1230,87.74666667,138.028,Laptev,0,0,0,361
498,1348,82.662,47.92,Barents,0,0,0,113
1316,1351,78.03683333,-176.2965,Chukchi,0,0,0,338
1317,1363,78.14166667,-176.0608333,Chukchi,0,0,0,401
525,1388,88.03666667,134.918,Laptev,0,0,0,250
590,1388,75.73,-160.09,Chukchi,0,0,0,525
585,1402,74.82366667,-157.4256667,Beaufort,0,0,0,322
1290,1478,78.6135,-175.9273333,Chukchi,0,0,0,397
417,1485,85.87333333,-108.6466667,Beaufort,0,0,0,161
418,1500,85.86666667,-108.2583333,Beaufort,0,0,0,259
1311,1532,84.92866667,-126.7228333,Beaufort,0,0,0,1382
682,1533,80.3388,-178.7118,Chukchi,0,0,0,406
683,1533,80.3388,-178.7118,Chukchi,0,0,0,669
607,1536,74.74,-157.46,Beaufort,0,0,0,926
409,1559,84.855,-34.69833333,Greenland,0,0,0,322
419,1585,85.635,-110.1166667,Beaufort,0,0,0,108
680,1609,79.983,-174.283,Chukchi,0,0,0,566
681,1609,79.983,-174.283,Chukchi,0,0,0,1291
