Number,Water Depth,Latitude,Longitude,Region,Abundance,Species,Genus,Total
1334,0,52.41,-4.08,Greenland,0.033333333,0.333333333,0.333333333,60
1332,1,50.74,-2.38,Greenland,0.016666667,0.333333333,0.333333333,60
1338,1,52.78,-56.12,Baffin,0.395112016,0.4,0.375,491
341,1,60.93,-46.06,Baffin,0.976989453,0.8,0.666666667,1043
184,1,69.66,-134.53,Beaufort,0,0,0,210
786,1,70.08,30.13,Barents,0.402116402,0.538461538,0.454545455,189
211,1,70.45,-148.75,Beaufort,0.371428571,0.142857143,0.142857143,70
223,1.5,70.44,-148.785,Beaufort,0,0,0,60
226,1.5,70.47,-148.85,Beaufort,0.055928412,0.166666667,0.166666667,447
227,1.8,70.43,-148.67,Beaufort,0.267368421,0.222222222,0.222222222,475
225,1.8,70.59,-151.96,Beaufort,0.017857143,0.4,0.4,168
196,2,69.36,-136.08,Beaufort,0.327868852,0.2,0.2,61
659,2,69.65,18,Barents,0.29143898,0.294117647,0.230769231,549
228,2,70.44,-148.73,Beaufort,0.392857143,0.2,0.2,56
307,2.3,70.468,-151.75,Beaufort,0,0,0,68
314,2.5,70.16,-146.09,Beaufort,0.176767677,0.25,0.272727273,396
33,2.6,70.92,-153.63,Beaufort,0.242105263,0.125,0.111111111,95
195,3,69.29,-137.08,Beaufort,0.360655738,0.25,0.25,61
183,3,69.62,-135.87,Beaufort,0.05,0.166666667,0.166666667,120
188,3,69.78,-132.07,Beaufort,0.011532125,0.142857143,0.125,607
315,3,70.19,-146.38,Beaufort,0.5,0.285714286,0.333333333,468
320,3,70.22,-147.54,Beaufort,0.218181818,0.125,0.142857143,110
325,3,70.62,-150.48,Beaufort,0.075376884,0.2,0.230769231,199
333,3.2,70.7,-152.33,Beaufort,0.295043273,0.25,0.25,1271
219,3.5,70.374,-147.737,Beaufort,0.120879121,0.2,0.230769231,91
366,4,69.655,-141.356,Beaufort,0.034550839,0.125,0.142857143,1013
365,4,69.656,-141.281,Beaufort,0.022328549,0.25,0.25,627
232,4,70.203,-146.5,Beaufort,0.207986689,0.25,0.266666667,601
214,4,70.46,-148.77,Beaufort,0.233082707,0.25,0.25,133
316,4.5,70.13,-146.66,Beaufort,0.211111111,0.363636364,0.363636364,270
35,4.5,71.33,-156.09,Beaufort,0.571428571,0.333333333,0.333333333,21
357,5,69.675,-141.319,Beaufort,0.090909091,0.142857143,0.142857143,165
318,5,70.29,-147.03,Beaufort,0.120987654,0.25,0.266666667,405
217,5,70.558,-149.457,Beaufort,0.276515152,0.166666667,0.166666667,264
317,5.5,70.13,-147.03,Beaufort,0.186567164,0.25,0.285714286,134
220,5.8,70.316,-147.557,Beaufort,0.120481928,0.416666667,0.3,166
215,5.8,70.56,-149.45,Beaufort,0.325301205,0.142857143,0.142857143,166
339,6,60.97,-46.53,Baffin,0.669421488,0.6,0.5,121
673,6,69.98,18.67,Barents,0.296089385,0.461538462,0.444444444,716
189,6,69.99,-132.05,Beaufort,0.351648352,0.166666667,0.166666667,91
306,6,70.272,-146.85,Beaufort,0.008695652,0.111111111,0.166666667,230
