"lon","lat","Number","Water.Depth","Latitude","Longitude","Region","Abundance","Species","Genus","Total","ER","a488","bb488","Zeu","PAR","Tvis","a488_buffer","bb488_buffer","Zeu_buffer","PAR_buffer","Tvis_buffer","Tvis_PAR"
-301062.342173595,-4220694.94719075,1334,0,52.41,-4.08,"Greenland",0.033333333,0.333333333,0.333333333,60,"0.25-0.5",NA,NA,NA,22.1519979410805,NA,0.105091634779855,0.0154187620580892,21.1443803069553,22.1519979410805,1,22.1519979410805
-184133.735731306,-4430259.35114653,1332,1,50.74,-2.38,"Greenland",0.016666667,0.333333333,0.333333333,60,"0.25-0.5",NA,NA,NA,NA,NA,0.103192975528197,0.0142160766481095,22.9457836756454,25.5103448817093,0.754734971758241,19.2535494238398
-3475896.28574223,-2333944.59879799,1338,1,52.78,-56.12,"Baffin",0.395112016,0.4,0.375,491,"0.25-0.5",NA,NA,NA,28.1759982272051,NA,0.0773486481578442,0.00308038992449205,36.0308445788362,28.1759982272051,0.802925524734832,22.6232281615064
-2322457.64096527,-2238075.90804366,341,1,60.93,-46.06,"Baffin",0.976989453,0.8,0.666666667,1043,"0.75-1",0.059800061644637,0.00666500396437186,NA,31.6239983909763,0.813591492371204,0.059800061644637,0.00666500396437186,38.9555988593994,31.6239983909763,0.813591492371204,25.729016045659
-1591553.7618351,1565654.45201481,184,1,69.66,-134.53,"Beaufort",0,0,0,210,"0",0.176900058686442,0.0399550031233957,4.0950034847483,25.2159980866127,0.650614738805366,0.176900058686442,0.0399550031233957,4.0950034847483,25.2159980866127,0.650614738805366,16.4059000088381
1097063.44491522,-1890251.95215965,786,1,70.08,30.13,"Barents",0.402116402,0.538461538,0.454545455,189,"0.5-0.75",0.0630000615637982,0.00491000400870689,33.0850028367713,26.8359981635585,0.813986679546075,0.0630000615637982,0.00491000400870689,33.0850028367713,26.8359981635585,0.813986679546075,21.8441450374596
-1112340.10368802,1833079.7586606,211,1,70.45,-148.75,"Beaufort",0.371428571,0.142857143,0.142857143,70,"0-0.25",0.222200057542068,0.031130003346334,6.80500342417508,21.0779978900682,0.639036801281286,0.222200057542068,0.031130003346334,6.80500342417508,21.0779978900682,0.639036801281286,13.4696163490829
-1111799.28291365,1834714.63436413,223,1.5,70.44,-148.785,"Beaufort",0,0,0,60,"0",0.225200057466282,0.0318750033275137,6.01000344194472,20.9999978863634,0.519080577098489,0.225200057466282,0.0318750033275137,6.01000344194472,20.9999978863634,0.519080577098489,10.9006910219206
-1107982.99999238,1833105.67992175,226,1.5,70.47,-148.85,"Beaufort",0.055928412,0.166666667,0.166666667,447,"0-0.25",0.214800057729008,0.0300650033732381,6.83500342350453,20.5559978652745,0.53035405036659,0.214800057729008,0.0300650033732381,6.83500342350453,20.5559978652745,0.53035405036659,10.9019567271753
-1116060.63457269,1833434.00718195,227,1.8,70.43,-148.67,"Beaufort",0.267368421,0.222222222,0.222222222,475,"0-0.25",0.222200057542068,0.031130003346334,6.80500342417508,21.0779978900682,0.465202723521023,0.222200057542068,0.031130003346334,6.80500342417508,21.0779978900682,0.465202723521023,9.80554202483012
